"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT03","WT07","WT08"
"USW00023183","PHOENIX AIRPORT, AZ US","2025-04-19","4.70",,"0.00","0.0","0.0","61","75","54","  310","  330","14.1","31.1",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-04-20","4.92",,"0.00","0.0","0.0","70","84","58","   90","  320","12.1","21.0",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-04-21","4.70",,"0.00","0.0","0.0","77","91","63","  320","  360","13.0","27.1",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-04-22","5.82",,"0.00","0.0","0.0","80","95","64","  230","  350","15.0","23.0",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-04-23","7.16",,"0.00","0.0","0.0","80","91","66","  280","  240","15.0","23.0",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-04-24","5.14",,"0.00","0.0","0.0","79","92","65","  160","  340","14.1","21.0",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-04-25","8.28",,"0.00","0.0","0.0","81","94","66","  230","  240","21.9","29.1",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-04-26","10.51",,"0.00","0.0","0.0","78","86","65","  280","  300","23.9","35.1",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-04-27","10.29",,"0.00","0.0","0.0","71","80","62","  290","  270","23.0","29.1",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-04-28","5.37",,"0.00","0.0","0.0","70","82","59","  300","  330","15.0","25.9",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-04-29","6.93",,"0.00","0.0","0.0","74","88","63","  290","   20","25.1","36.0",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-04-30","6.71",,"0.00","0.0","0.0","77","91","64","  280","  340","16.1","25.9",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-05-01","5.59",,"0.00","0.0","0.0","81","94","68","  190","  210","18.1","23.9",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-05-02","6.26",,"0.00","0.0","0.0","83","94","71","  290","  310","16.1","21.9",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-05-03","8.72",,"0.00","0.0","0.0","84","97","70","  230","  330","21.0","30.0",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-05-04","10.07",,"0.00","0.0","0.0","79","83","65","  230","  230","25.1","38.0",,"    1",,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-05-05","8.72",,"0.00","0.0","0.0","66","74","59","  280","  310","18.1","29.1",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-05-06","6.26",,"0.00","0.0","0.0","67","77","62","  280","  280","16.1","19.0",,,,
